"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 14 03:01:30 UTC 2023","Thu Dec 14 03:01:34 UTC 2023","4083","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Thu Dec 14 02:59:04 UTC 2023","Thu Dec 14 02:59:23 UTC 2023","19510","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Thu Dec 14 02:37:42 UTC 2023","Thu Dec 14 02:37:51 UTC 2023","9104","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Thu Dec 14 04:00:51 UTC 2023","Thu Dec 14 04:01:02 UTC 2023","11069","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Thu Dec 14 03:34:46 UTC 2023","Thu Dec 14 03:34:57 UTC 2023","10878","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Thu Dec 14 03:34:46 UTC 2023","Thu Dec 14 03:34:46 UTC 2023","254","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Thu Dec 14 03:01:09 UTC 2023","Thu Dec 14 03:01:23 UTC 2023","14471","","6. Company Account","","","","1. Validate login credentials",""
"passed","Thu Dec 14 02:50:02 UTC 2023","Thu Dec 14 02:50:06 UTC 2023","4459","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Dec 14 02:39:09 UTC 2023","Thu Dec 14 02:39:12 UTC 2023","3614","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Thu Dec 14 02:53:57 UTC 2023","Thu Dec 14 02:54:00 UTC 2023","3302","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Dec 14 02:45:41 UTC 2023","Thu Dec 14 02:45:41 UTC 2023","201","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Thu Dec 14 03:57:59 UTC 2023","Thu Dec 14 03:58:41 UTC 2023","42082","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Thu Dec 14 04:29:43 UTC 2023","Thu Dec 14 04:29:48 UTC 2023","4619","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Thu Dec 14 04:00:35 UTC 2023","Thu Dec 14 04:00:38 UTC 2023","3230","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Thu Dec 14 04:12:24 UTC 2023","Thu Dec 14 04:12:28 UTC 2023","4229","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Thu Dec 14 02:39:52 UTC 2023","Thu Dec 14 02:40:12 UTC 2023","20169","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Thu Dec 14 04:05:28 UTC 2023","Thu Dec 14 04:09:40 UTC 2023","251995","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Thu Dec 14 02:43:22 UTC 2023","Thu Dec 14 02:43:38 UTC 2023","15055","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Dec 14 02:47:35 UTC 2023","Thu Dec 14 02:47:53 UTC 2023","18071","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Dec 14 04:38:38 UTC 2023","Thu Dec 14 04:38:41 UTC 2023","2874","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
